func,v
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,37.9555
E,f,76.6757
E,f,113.877
E,f,149.561
E,f,183.725
E,f,216.372
E,f,247.5
E,f,277.109
E,f,305.2
E,f,331.773
E,f,356.827
E,f,380.363
E,f,402.38
E,f,422.879
E,f,441.86
E,f,459.322
E,f,475.265
E,f,489.69
E,f,502.597
E,f,513.985
E,f,523.855
E,f,532.207
E,f,539.04
E,f,544.354
E,f,548.15
E,f,550.428
E,f,551.187
E,f,550.428
E,f,548.15
E,f,544.354
E,f,539.04
E,f,532.207
E,f,523.855
E,f,513.985
E,f,502.597
E,f,489.69
E,f,475.265
E,f,459.322
E,f,441.86
E,f,422.879
E,f,402.38
E,f,380.363
E,f,356.827
E,f,331.773
E,f,305.2
E,f,277.109
E,f,247.5
E,f,216.372
E,f,183.725
E,f,149.561
E,f,113.877
E,f,76.6757
E,f,37.9555
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,10.4422
E,f,53.7176
E,f,95.4747
E,f,135.713
E,f,174.433
E,f,211.635
E,f,247.318
E,f,281.483
E,f,314.13
E,f,345.257
E,f,374.867
E,f,402.958
E,f,429.531
E,f,454.585
E,f,478.121
E,f,500.138
E,f,520.637
E,f,539.617
E,f,557.079
E,f,573.023
E,f,587.448
E,f,600.355
E,f,611.743
E,f,621.613
E,f,629.964
E,f,636.797
E,f,642.112
E,f,645.908
E,f,648.185
E,f,648.945
E,f,648.185
E,f,645.908
E,f,642.112
E,f,636.797
E,f,629.964
E,f,621.613
E,f,611.743
E,f,600.355
E,f,587.448
E,f,573.023
E,f,557.079
E,f,539.617
E,f,520.637
E,f,500.138
E,f,478.121
E,f,454.585
E,f,429.531
E,f,402.958
E,f,374.867
E,f,345.257
E,f,314.13
E,f,281.483
E,f,247.318
E,f,211.635
E,f,174.433
E,f,135.713
E,f,95.4747
E,f,53.7176
E,f,10.4422
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
